,target
0,0.012005353451207512
1,0.012005353451207512
2,0.012005353451207512
3,0.012005353451207512
4,0.012005353451207512
5,0.012005353451207512
6,0.012005353451207512
7,0.012005353451207512
8,0.012005353451207512
9,0.012005353451207512
10,0.012005353451207512
11,0.012005353451207512
12,0.012005353451207512
13,0.012005353451207512
14,0.012005353451207512
15,0.012005353451207512
16,0.012005353451207512
17,0.012005353451207512
18,0.012005353451207512
19,0.012005353451207512
20,0.012005353451207512
21,0.012005353451207512
22,0.012005353451207512
23,0.012005353451207512
24,0.012005353451207512
25,0.012005353451207512
26,0.012005353451207512
27,0.012005353451207512
28,0.012005353451207512
29,0.012005353451207512
30,0.012005353451207512
31,0.012005353451207512
32,0.012005353451207512
33,0.012005353451207512
34,0.012005353451207512
35,0.012005353451207512
36,0.012005353451207512
37,0.012005353451207512
38,0.012005353451207512
39,0.012005353451207512
40,0.012005353451207512
41,0.012005353451207512
42,0.012005353451207512
43,0.012005353451207512
44,0.012005353451207512
45,0.012005353451207512
46,0.012005353451207512
47,0.012005353451207512
48,0.012005353451207512
49,0.012005353451207512
50,0.012005353451207512
51,0.012005353451207512
52,0.012005353451207512
53,0.012005353451207512
54,0.012005353451207512
55,0.012005353451207512
56,0.012005353451207512
57,0.012005353451207512
58,0.012005353451207512
59,0.012005353451207512
60,0.012005353451207512
61,0.012005353451207512
62,0.012005353451207512
63,0.012005353451207512
64,0.012005353451207512
65,0.012005353451207512
66,0.012005353451207512
67,0.012005353451207512
68,0.012005353451207512
69,0.012005353451207512
70,0.012005353451207512
71,0.012005353451207512
72,0.012005353451207512
73,0.012005353451207512
74,0.012005353451207512
75,0.012005353451207512
76,0.012005353451207512
77,0.012005353451207512
78,0.012005353451207512
79,0.012005353451207512
80,0.012005353451207512
81,0.012005353451207512
82,0.012005353451207512
83,0.012005353451207512
84,0.012005353451207512
85,0.012005353451207512
86,0.012005353451207512
87,0.012005353451207512
88,0.012005353451207512
89,0.012005353451207512
90,0.012005353451207512
91,0.012005353451207512
92,0.012005353451207512
93,0.012005353451207512
94,0.012005353451207512
95,0.012005353451207512
96,0.012005353451207512
97,0.012005353451207512
98,0.012005353451207512
99,0.012005353451207512
100,0.012005353451207512
101,0.012005353451207512
102,0.012005353451207512
103,0.012005353451207512
104,0.012005353451207512
105,0.012005353451207512
106,0.012005353451207512
107,0.012005353451207512
108,0.012005353451207512
109,0.012005353451207512
110,0.012005353451207512
111,0.012005353451207512
112,0.012005353451207512
113,0.012005353451207512
114,0.012005353451207512
115,0.012005353451207512
116,0.012005353451207512
117,0.012005353451207512
118,0.012005353451207512
119,0.012005353451207512
120,0.012005353451207512
121,0.012005353451207512
122,0.012005353451207512
123,0.012005353451207512
124,0.012005353451207512
125,0.012005353451207512
126,0.012005353451207512
127,0.012005353451207512
128,0.012005353451207512
129,0.012005353451207512
130,0.012005353451207512
131,0.012005353451207512
132,0.012005353451207512
133,0.012005353451207512
134,0.012005353451207512
135,0.012005353451207512
136,0.012005353451207512
137,0.012005353451207512
138,0.012005353451207512
139,0.012005353451207512
140,0.012005353451207512
141,0.012005353451207512
142,0.012005353451207512
143,0.012005353451207512
144,0.012005353451207512
145,0.012005353451207512
146,0.012005353451207512
147,0.012005353451207512
148,0.012005353451207512
149,0.012005353451207512
150,0.012005353451207512
151,0.012005353451207512
152,0.012005353451207512
153,0.012005353451207512
